symbol
360ONE.NS
AARTIIND.NS
ABB.NS
ABBOTINDIA.NS
ABCAPITAL.NS
ACC.NS
ADANIENSOL.NS
ADANIENT.NS
ADANIGREEN.NS
ADANIPORTS.NS
ADANIPOWER.NS
ALKEM.NS
AMBERENTERP.NS
AMBUJACEM.NS
ANGELONE.NS
APOLLOHOSP.NS
APOLLOTYRE.NS
ASHOKLEY.NS
ASIANPAINT.NS
ASTRAL.NS
ATGL.NS
ATUL.NS
AUBANK.NS
AUROPHARMA.NS
AXISBANK.NS
BAJAJ-AUTO.NS
BAJAJFINSV.NS
BAJFINANCE.NS
BALKRISIND.NS
BANDHANBNK.NS
BANKBARODA.NS
BATAINDIA.NS
BEL.NS
BERGEPAINT.NS
BHARATFORG.NS
BHARTIARTL.NS
BHEL.NS
BIOCON.NS
BOSCHLTD.NS
BPCL.NS
BRITANNIA.NS
BSE.NS
BSOFT.NS
CANBK.NS
CANFINHOME.NS
CHAMBLFERT.NS
CHOLAFIN.NS
CIPLA.NS
COALINDIA.NS
COFORGE.NS
COLPAL.NS
CONCOR.NS
COROMANDEL.NS
CROMPTON.NS
CUB.NS
CUMMINSIND.NS
CYIENT.NS
DABUR.NS
DALBHARAT.NS
DEEPAKNTR.NS
DELHIVERY.NS
DIVISLAB.NS
DIXON.NS
DLF.NS
DMART.NS
DRREDDY.NS
EICHERMOT.NS
ESCORTS.NS
EXIDEIND.NS
FEDERALBNK.NS
GAIL.NS
GLENMARK.NS
GMRAIRPORT.NS
GMRINFRA.NS
GNFC.NS
GODREJCP.NS
GODREJPROP.NS
GRASIM.NS
GUJGASLTD.NS
HAL.NS
HAVELLS.NS
HCLTECH.NS
HDFCAMC.NS
HDFCBANK.NS
HDFCLIFE.NS
HEROMOTOCO.NS
HINDALCO.NS
HINDCOPPER.NS
HINDPETRO.NS
HINDUNILVR.NS
HINDZINC.NS
ICICIBANK.NS
ICICIGI.NS
ICICIPRULI.NS
IDEA.NS
IDFCFIRSTB.NS
IEX.NS
IGL.NS
INDHOTEL.NS
INDIAMART.NS
INDIANB.NS
INDIGO.NS
INDUSINDBK.NS
INDUSTOWER.NS
INFY.NS
IOC.NS
IPCALAB.NS
IRB.NS
IRCTC.NS
IRFC.NS
ITC.NS
JINDALSTEL.NS
JIOFIN.NS
JKCEMENT.NS
JSL.NS
JSWENERGY.NS
JSWSTEEL.NS
JUBLFOOD.NS
KAJARIACER.NS
KAYNES.NS
KEI.NS
KFINTECH.NS
KOTAKBANK.NS
KPITTECH.NS
LALPATHLAB.NS
LAURUSLABS.NS
LICHSGFIN.NS
LICI.NS
LTIM.NS
LT.NS
LTTS.NS
LUPIN.NS
M&M.NS
M&MFIN.NS
MANAPPURAM.NS
MARICO.NS
MARUTI.NS
MAXHEALTH.NS
MCX.NS
METROPOLIS.NS
MFSL.NS
MGL.NS
MOTHERSON.NS
MPHASIS.NS
MRF.NS
MUTHOOTFIN.NS
NATIONALUM.NS
NAUKRI.NS
NAVINFLUOR.NS
NESTLEIND.NS
NHPC.NS
NMDC.NS
NTPC.NS
OBEROIRLTY.NS
OFSS.NS
OIL.NS
ONGC.NS
PAGEIND.NS
PAYTM.NS
PEL.NS
PERSISTENT.NS
PETRONET.NS
PFC.NS
PGEL.NS
PIDILITIND.NS
PIIND.NS
PNB.NS
POLICYBZR.NS
POLYCAB.NS
POWERGRID.NS
PRESTIGE.NS
PVRINOX.NS
RAMCOCEM.NS
RBLBANK.NS
RECLTD.NS
RELIANCE.NS
SAIL.NS
SBICARD.NS
SBILIFE.NS
SBIN.NS
SHREECEM.NS
SHRIRAMFIN.NS
SIEMENS.NS
SJVN.NS
SONACOMS.NS
SONATSOFTW.NS
STARHEALTH.NS
SUNPHARMA.NS
SUNTV.NS
SYNGENE.NS
TATACHEM.NS
TATACOMM.NS
TATACONSUM.NS
TATAELXSI.NS
TATAMOTORS.NS
TATAPOWER.NS
TATASTEEL.NS
TCS.NS
TECHM.NS
TIINDIA.NS
TITAN.NS
TORNTPHARM.NS
TRENT.NS
TVSMOTOR.NS
UBL.NS
ULTRACEMCO.NS
UNIONBANK.NS
UPL.NS
VBL.NS
VEDL.NS
VOLTAS.NS
WIPRO.NS
YESBANK.NS
ZEEL.NS
ZOMATO.NS
ZYDUSLIFE.NS
